policy file ,current use of EO derived information in Y
Zero Pollution Monitoring and Outlook ,seasonal
"industrial emissions and safety, Directive 2010/75/eu",4 years (four bathing seasons needed for the assessment of bathing water quality (bathing site classification)
"Water Framework Directive (2000/60/EC), Environmental Quality Standards Directive (2008/105/EC), Groundwater Directive (2006/118/EC), Floods Directive (2007/60/EC) and Water Reuse Regulation (EU/2020/741)",Year
Water Resilience (emerging policy area/future commission priority),6 years as the MSFD is based on a 6 years cycle.
All EU environmental legislation,seasonal
Bathing Water Directive (2006/7),Not sure/no answer
 Marine Strategy Framework Directive - 2008/56/EC,Not sure/no answer
Birds directive 79/409/EEC and the Habitats directive (2011/484/UE),2020-2050
Soil Strategy COM(2021) 699 // Soil Monitoring Law COM(2023) 416,In the medium term (6-24 months)
Nature Restoration Law,In the medium term (6-24 months)
EU Biodiversity Strategy for 2030 - COM(2020)380,In the medium term (6-24 months)
EU Pollinators Initiative,Year
